// 20251220

RD,#group#

CANALES LOCALES,#genre#
SiTV 1,http://190.122.104.210:5080/LiveApp/streams/sitv2.m3u8
Teleantillas 2,http://45.5.116.178:8000/play/a01d/index.m3u8
CDN 3,http://190.122.104.210:5080/LiveApp/streams/cdnlocal.m3u8
RTVD 4,http://190.122.104.210:5080/LiveApp/streams/RTVD.m3u8
Telemicro 5,http://190.122.104.210:5080/LiveApp/streams/telemicrolocal5.m3u8
El seis 6,http://190.122.104.210:5080/LiveApp/streams/csol.m3u8
Antena 7,https://d2qsan2ut81n2k.cloudfront.net/live/3bc8d309-7e74-46ec-bb09-18afc6de1e86/ts:abr.m3u8#https://alba-do-antena7-antena7.stream.mediatiquestream.com/index.m3u8
BELLAVISION 8,https://rdn.essastream.com:3110/live/bellavision8hdlive.m3u8
COLOR VISION 9,http://190.122.104.210:5080/LiveApp/streams/cvision1.m3u8
Microvision 10,http://190.122.104.210:5080/LiveApp/streams/microvision.m3u8
TELESISTEMA 11,http://45.5.116.178:8000/play/a01f/index.m3u8
Teleunion 12,http://190.122.104.210:5080/LiveApp/streams/tunion.m3u8
TELECENTRO 13,http://190.122.104.210:5080/LiveApp/streams/tcentro.m3u8
CATORCETV 14,http://190.122.104.210:5080/LiveApp/streams/catorcetv.m3u8
DIGITAL 15,http://190.122.104.210:5080/LiveApp/streams/Di15.m3u8
